Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound,ClaimedAmount
Apr,2,Friday,Mazda,Urban,May,1,Male,Married,40,Policy Holder,Sedan - Liability,0,1,21,3,400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,0,0,3828
Jan,2,Saturday,Chevrolet,Urban,Jan,2,Male,Married,47,Policy Holder,Sedan - Collision,1,1,22,13,400,2,more than 30,more than 30,1,more than 7,No,No,External,none,4 to 8 years,2 vehicles,1994,2,0,5092
Aug,3,Sunday,Mazda,Urban,Aug,5,Male,Married,63,Policy Holder,Sedan - Liability,0,1,23,8,400,3,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,0,0,5513
Jun,3,Saturday,Pontiac,Urban,Jun,3,Male,Single,31,Third Party,Sedan - Liability,0,2,24,5,400,3,more than 30,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,4761
Sep,3,Friday,Mazda,Urban,Sep,3,Male,Married,45,Policy Holder,Sedan - All Perils,1,5,25,12,400,3,more than 30,more than 30,more than 4,more than 7,Yes,No,External,none,no change,1 vehicle,1994,1,0,6765
Mar,3,Monday,Pontiac,Urban,Apr,1,Male,Married,60,Policy Holder,Sedan - Liability,0,1,26,16,400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,1994,0,0,4953
Mar,3,Thursday,Honda,Urban,Jun,4,Male,Married,21,Policy Holder,Sedan - Collision,1,2,27,1,400,2,more than 30,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,4652
May,3,Sunday,Accura,Urban,May,4,Male,Married,42,Policy Holder,Sedan - All Perils,1,2,28,1,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,5652
Jul,1,Saturday,Honda,Urban,Sep,4,Male,Single,0,Policy Holder,Sedan - All Perils,1,5,29,9,400,1,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,1994,1,1,6858
May,3,Monday,Mazda,Urban,May,4,Female,Married,39,Policy Holder,Sedan - Collision,1,1,30,12,400,3,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,5939
Mar,2,Friday,Dodge,Urban,Mar,2,Male,Married,47,Policy Holder,Sedan - Collision,1,2,31,2,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,Internal,none,no change,1 vehicle,1994,2,0,4388
Mar,1,Sunday,Honda,Urban,Mar,2,Male,Single,0,Policy Holder,Sedan - Collision,1,5,32,6,400,1,more than 30,more than 30,1,new,No,No,External,none,no change,1 vehicle,1994,2,0,5064
Mar,2,Wednesday,Chevrolet,Urban,Mar,2,Male,Single,42,Policy Holder,Sedan - Collision,1,1,33,2,400,3,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,5187
Jan,4,Monday,Honda,Urban,Jan,4,Male,Single,30,Third Party,Sedan - Collision,1,1,34,2,400,4,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,5637
Jan,4,Tuesday,Ford,Urban,Jan,4,Male,Married,42,Policy Holder,Utility - All Perils,2,5,35,12,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,6403
Oct,2,Wednesday,Chevrolet,Urban,Oct,2,Male,Single,34,Third Party,Sedan - Liability,0,1,36,5,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5025
Oct,2,Tuesday,Honda,Urban,Oct,3,Male,Married,30,Third Party,Sedan - Collision,1,1,37,11,400,4,more than 30,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,6154
Sep,2,Friday,Mazda,Urban,Sep,3,Male,Single,27,Policy Holder,Sedan - Collision,1,2,38,4,400,2,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5863
Nov,4,Tuesday,Honda,Urban,Nov,4,Male,Married,55,Policy Holder,Sport - Collision,0,5,39,12,400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,2,0,6964
Nov,4,Thursday,Toyota,Urban,Jan,1,Male,Married,35,Policy Holder,Sedan - Collision,1,1,40,1,400,3,more than 30,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,5936
Mar,4,Wednesday,Chevrolet,Urban,Apr,1,Female,Married,35,Policy Holder,Sedan - Collision,1,1,41,11,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,7716
Mar,3,Friday,Pontiac,Urban,Mar,4,Male,Married,44,Policy Holder,Sedan - All Perils,1,1,42,15,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,3 to 4,1994,1,0,6461
Jul,1,Monday,Toyota,Urban,Jul,1,Female,Single,42,Policy Holder,Sedan - Liability,0,1,43,12,400,4,more than 30,more than 30,none,4 years,No,No,External,none,4 to 8 years,2 vehicles,1994,0,0,4269
Jan,3,Tuesday,Honda,Urban,Jan,4,Male,Married,41,Policy Holder,Sedan - Collision,1,1,44,5,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,4736
Jan,3,Wednesday,Toyota,Urban,Jan,4,Male,Married,72,Third Party,Sedan - Collision,1,1,45,16,400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,2,0,5302
Feb,2,Wednesday,Pontiac,Urban,Feb,2,Female,Married,29,Third Party,Sedan - All Perils,1,0,46,8,400,3,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,1994,1,0,5732
Feb,2,Thursday,Pontiac,Urban,Feb,3,Male,Single,32,Third Party,Sedan - Collision,1,2,47,9,400,4,more than 30,more than 30,none,6 years,No,No,Internal,none,no change,1 vehicle,1994,2,0,4978
Nov,4,Thursday,Mazda,Urban,Nov,4,Male,Married,37,Policy Holder,Sedan - Liability,0,2,48,13,400,3,more than 30,more than 30,2 to 4,5 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,5470
Apr,3,Thursday,Chevrolet,Urban,May,1,Female,Married,37,Policy Holder,Sedan - Liability,0,5,49,10,400,1,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,4151
Apr,3,Friday,Pontiac,Urban,Apr,3,Male,Married,59,Policy Holder,Sedan - Collision,1,1,50,9,400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,6088
May,4,Friday,Pontiac,Urban,May,4,Male,Married,49,Policy Holder,Sedan - Liability,0,2,51,14,400,2,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,1994,0,0,5137
Jun,4,Wednesday,Pontiac,Urban,Jun,4,Male,Married,27,Policy Holder,Sedan - Liability,0,1,52,4,500,3,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,0,0,6021
Jul,3,Sunday,Honda,Rural,Jan,4,Male,Married,21,Policy Holder,Sport - Collision,0,5,53,4,400,4,more than 30,more than 30,none,4 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,1,6762
Jul,4,Saturday,Honda,Urban,Aug,2,Male,Married,50,Policy Holder,Sedan - Collision,1,1,54,13,400,1,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,2,1,5718
Jun,4,Tuesday,Pontiac,Urban,Jun,4,Male,Single,45,Policy Holder,Sedan - Collision,1,2,55,8,400,1,more than 30,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,7339
Dec,3,Monday,Mazda,Urban,Dec,3,Male,Married,49,Third Party,Sedan - All Perils,1,1,56,7,400,4,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,1,0,5425
Jun,4,Friday,Honda,Urban,Jun,5,Male,Single,30,Policy Holder,Sedan - All Perils,1,1,57,5,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,1,0,6303
Nov,2,Friday,Accura,Urban,Nov,2,Male,Single,37,Policy Holder,Sedan - Collision,1,5,58,11,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,5717
May,1,Monday,Honda,Rural,May,4,Male,Single,0,Policy Holder,Sedan - Liability,0,5,59,15,400,4,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,1994,0,0,5698
May,1,Wednesday,Chevrolet,Urban,May,2,Female,Single,27,Policy Holder,Sedan - Collision,1,1,60,4,400,4,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,6487
Nov,1,Monday,Toyota,Urban,Nov,3,Male,Single,30,Policy Holder,Sedan - All Perils,1,2,61,5,400,4,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,1994,1,0,5708
Sep,2,Tuesday,Pontiac,Urban,Jan,4,Male,Married,49,Policy Holder,Utility - Collision,2,3,62,6,400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,2,0,6708
Nov,4,Sunday,Honda,Urban,Jan,3,Male,Single,0,Third Party,Sedan - All Perils,1,5,63,3,400,2,more than 30,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,1994,1,0,7154
Feb,5,Monday,Toyota,Urban,Mar,1,Male,Married,26,Policy Holder,Sedan - Liability,0,1,64,13,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,0,0,4142
Dec,1,Friday,Pontiac,Urban,Dec,2,Male,Single,48,Policy Holder,Sedan - Collision,1,1,65,1,400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,5726
Dec,4,Friday,Mazda,Urban,Jan,2,Male,Single,31,Policy Holder,Sedan - All Perils,1,1,66,6,400,3,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,6542
Mar,3,Friday,Mercury,Urban,Mar,3,Male,Single,40,Third Party,Sedan - Collision,1,5,67,16,400,2,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,4865
Aug,4,Thursday,Mazda,Urban,Aug,5,Male,Married,65,Policy Holder,Sedan - Liability,0,2,68,12,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,0,0,7967
Jan,1,Sunday,Toyota,Urban,Jan,1,Male,Married,64,Policy Holder,Sedan - Collision,1,1,69,5,400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1994,2,0,5982
Jan,1,Sunday,Honda,Urban,Jan,1,Male,Married,55,Policy Holder,Sedan - Liability,0,1,70,12,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,6196
Jan,1,Sunday,Honda,Urban,Jan,1,Male,Single,44,Policy Holder,Sedan - Collision,1,1,71,16,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,6024
Jan,1,Tuesday,Mazda,Urban,Jan,1,Male,Married,27,Policy Holder,Sedan - Collision,1,1,72,9,400,3,more than 30,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,4773
Sep,4,Thursday,Chevrolet,Urban,Jan,5,Female,Single,28,Third Party,Sedan - Collision,1,1,73,5,400,3,15 to 30,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,1994,2,0,6124
Jan,1,Monday,Honda,Urban,Jan,1,Male,Married,47,Third Party,Sedan - Collision,1,1,74,7,400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5071
Apr,5,Saturday,Mazda,Urban,May,1,Male,Married,60,Third Party,Sedan - Collision,1,5,75,12,400,3,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5954
Aug,1,Saturday,Ford,Urban,Aug,4,Male,Married,33,Third Party,Sedan - Collision,1,2,76,9,400,4,more than 30,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,1994,2,0,4734
Oct,4,Tuesday,Chevrolet,Urban,Jan,1,Male,Married,27,Third Party,Sedan - All Perils,1,1,77,1,400,3,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,1,0,6425
Feb,2,Friday,Honda,Urban,Feb,3,Female,Married,47,Third Party,Sport - Collision,0,5,78,12,400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,2,0,6335
Feb,2,Friday,Jaguar,Rural,Feb,3,Female,Single,29,Policy Holder,Sedan - Liability,0,2,79,16,400,1,more than 30,more than 30,2 to 4,5 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,4276
Feb,4,Saturday,Toyota,Urban,Mar,1,Female,Married,33,Third Party,Sedan - Collision,1,2,80,10,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5154
Jan,3,Wednesday,Pontiac,Urban,Jan,3,Male,Married,38,Policy Holder,Sedan - Liability,0,1,81,13,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,0,0,4557
Jan,3,Thursday,Mazda,Urban,Jan,4,Male,Single,37,Third Party,Sedan - Liability,0,1,82,6,400,2,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,0,0,5114
Dec,2,Friday,Chevrolet,Urban,Apr,3,Male,Married,36,Third Party,Sedan - All Perils,1,5,83,13,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,3 to 4,1994,1,0,5765
Nov,5,Tuesday,Toyota,Urban,Feb,1,Female,Married,44,Policy Holder,Sedan - Liability,0,1,84,9,400,4,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,0,0,5742
Dec,1,Wednesday,Honda,Urban,Jan,1,Male,Single,0,Policy Holder,Sedan - Liability,0,5,85,6,400,2,more than 30,more than 30,more than 4,new,No,No,External,none,4 to 8 years,2 vehicles,1994,0,0,4889
Dec,2,Tuesday,Chevrolet,Rural,Mar,1,Male,Married,27,Policy Holder,Utility - Liability,2,5,86,4,400,4,more than 30,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,1994,0,0,6058
May,4,Tuesday,Toyota,Urban,May,4,Male,Single,27,Policy Holder,Sedan - Collision,1,1,87,14,400,3,more than 30,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5976
May,4,Sunday,Mazda,Urban,May,4,Male,Single,39,Third Party,Sedan - All Perils,1,1,88,1,400,2,more than 30,more than 30,2 to 4,4 years,No,No,External,more than 5,no change,1 vehicle,1994,1,0,6976
Oct,5,Saturday,Pontiac,Urban,Oct,5,Male,Married,74,Third Party,Sedan - All Perils,1,2,89,13,400,4,more than 30,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,1,0,5282
Oct,4,Sunday,Honda,Urban,Oct,4,Male,Single,23,Policy Holder,Sedan - Liability,0,1,90,8,400,2,more than 30,more than 30,2 to 4,4 years,No,No,External,none,no change,1 vehicle,1994,0,0,4266
Oct,4,Sunday,Honda,Urban,Oct,4,Female,Single,25,Third Party,Sport - Collision,0,5,91,2,400,1,more than 30,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,7629
Jan,2,Wednesday,Pontiac,Urban,Jan,2,Male,Single,38,Policy Holder,Sedan - Liability,0,1,92,13,400,2,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,1 year,1 vehicle,1994,0,0,5118
Jan,2,Thursday,Honda,Urban,Jan,4,Male,Married,41,Policy Holder,Sedan - All Perils,1,2,93,16,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,6055
Aug,4,Saturday,Pontiac,Urban,Aug,5,Male,Married,38,Policy Holder,Sedan - Collision,1,1,94,13,700,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5609
Nov,2,Thursday,Honda,Urban,Jan,3,Male,Single,34,Policy Holder,Sport - Collision,0,5,95,7,400,3,more than 30,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,1,6420
May,2,Tuesday,Honda,Urban,May,2,Male,Married,61,Third Party,Sedan - Collision,1,2,96,15,400,4,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5742
Nov,2,Friday,Toyota,Urban,Jan,1,Male,Married,38,Policy Holder,Sedan - Collision,1,1,97,7,400,2,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,2,1,5033
Jan,3,Thursday,Toyota,Urban,Jan,4,Male,Single,40,Policy Holder,Sedan - All Perils,1,0,98,4,400,4,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,5940
Nov,3,Monday,Pontiac,Urban,Jan,4,Male,Married,41,Third Party,Sedan - All Perils,1,1,99,12,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,6493
Jan,4,Friday,Pontiac,Urban,Jan,5,Male,Married,36,Policy Holder,Sedan - All Perils,1,1,100,10,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,5087
Nov,3,Tuesday,Chevrolet,Urban,Jan,2,Male,Married,31,Policy Holder,Utility - All Perils,2,5,101,2,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,1,1,6402
Jan,5,Saturday,Pontiac,Urban,Jan,5,Female,Married,35,Third Party,Sedan - All Perils,1,1,102,10,400,4,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,1,0,6930
Jan,4,Friday,Ford,Urban,Feb,1,Female,Married,37,Policy Holder,Sedan - All Perils,1,5,103,14,500,2,more than 30,more than 30,2 to 4,6 years,Yes,No,External,3 to 5,no change,1 vehicle,1994,1,0,5896
Jan,1,Thursday,Mazda,Urban,Jan,2,Male,Married,55,Policy Holder,Sedan - All Perils,1,1,104,14,400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,1,0,6805
Jan,1,Tuesday,Pontiac,Urban,Jan,1,Male,Single,31,Third Party,Sedan - All Perils,1,1,105,12,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,1,0,5325
Dec,3,Friday,Dodge,Urban,Dec,3,Male,Married,28,Policy Holder,Sedan - Liability,0,5,106,5,400,1,more than 30,more than 30,none,7 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,0,0,4576
Aug,1,Monday,Mazda,Urban,Aug,1,Male,Married,28,Policy Holder,Sedan - Collision,1,1,107,11,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,2,0,6377
Nov,4,Sunday,Pontiac,Urban,Apr,2,Male,Married,44,Third Party,Sedan - All Perils,1,1,108,11,400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,1,0,6548
Jun,1,Thursday,Chevrolet,Urban,Oct,4,Male,Married,47,Policy Holder,Sedan - All Perils,1,1,109,1,400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1994,1,0,6543
Mar,1,Thursday,Honda,Urban,Mar,1,Male,Married,40,Policy Holder,Sedan - Liability,0,1,110,16,400,4,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,0,0,5371
May,2,Tuesday,Toyota,Urban,Sep,1,Male,Single,23,Policy Holder,Sedan - Collision,1,1,111,4,400,2,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,1994,2,0,5512
May,2,Monday,Pontiac,Urban,May,2,Male,Single,31,Policy Holder,Sedan - All Perils,1,1,112,6,400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,1,0,6454
Nov,4,Thursday,Honda,Urban,Dec,5,Male,Married,35,Third Party,Sedan - All Perils,1,1,113,9,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,1,0,8139
Nov,4,Thursday,Accura,Rural,Jan,2,Male,Married,56,Policy Holder,Utility - All Perils,2,5,114,10,400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,1,1,5797
Dec,4,Monday,Chevrolet,Urban,Jan,1,Male,Married,50,Third Party,Sedan - Collision,1,1,115,2,400,3,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,2,0,5798
Dec,2,Tuesday,Honda,Urban,Jan,2,Male,Single,16,Third Party,Sport - Collision,0,5,116,2,400,1,more than 30,more than 30,2 to 4,4 years,No,No,External,3 to 5,no change,1 vehicle,1994,2,0,5116
Nov,5,Tuesday,Pontiac,Urban,Nov,5,Male,Married,32,Third Party,Sedan - Collision,1,2,117,12,400,2,more than 30,more than 30,1,7 years,No,Yes,External,more than 5,no change,1 vehicle,1994,2,0,5546
Aug,2,Monday,Pontiac,Urban,Aug,5,Male,Single,28,Policy Holder,Sedan - Liability,0,1,118,4,400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1994,0,0,4713
Nov,5,Monday,Mazda,Urban,Dec,1,Male,Single,68,Policy Holder,Sedan - All Perils,1,1,119,9,400,3,more than 30,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,1994,1,1,6519
Dec,1,Friday,Honda,Rural,Dec,3,Male,Single,0,Policy Holder,Sedan - All Perils,1,5,120,7,400,3,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,1994,1,1,6263
Feb,1,Friday,Honda,Rural,Mar,3,Male,Single,0,Policy Holder,Sedan - All Perils,1,5,121,8,400,3,more than 30,more than 30,none,new,No,No,External,none,no change,1 vehicle,1994,1,0,5440
Oct,2,Wednesday,Honda,Rural,Oct,3,Female,Married,18,Third Party,Sport - Collision,0,5,122,12,400,4,more than 30,more than 30,none,2 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,7888
Jun,3,Monday,Pontiac,Urban,Jun,3,Male,Single,30,Policy Holder,Sedan - Collision,1,5,123,2,400,1,more than 30,more than 30,more than 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,2,0,5009
Apr,4,Tuesday,Honda,Urban,Apr,4,Male,Married,51,Policy Holder,Sedan - Collision,1,1,124,1,400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,3 to 4,1994,2,0,4483
